participant_id,task_id,concept,label,analogy
participant_90,T001,chocolate and cream,low calorie,This is similar to how one cannot find snowflake in desert.
participant_90,T002,beet and apple,high calorie,This is similar to how one cannot find dogs  in trees.
participant_90,T006,chocolate and ice cream,high calorie,"This is like bikes can typically be associated with two wheels, but it’s also possible to associate bikes with three wheels."
participant_90,T008_2,lemon,high calorie,This is like the sun can seldom be found in the night.
participant_90,T009_1,carrot,high calorie,This is like basements can seldom be found in submarines.
participant_90,T010_2,nuts,high calorie,This is like gold can seldom be found in gardens.
participant_79,T001,chocolate and cream,low calorie,This is similar to how one cannot find domesticated animals in zoo.
participant_79,T002,beet and apple,high calorie,This is similar to how nickel is irrelevant for recognising a haystack.
participant_79,T006,chocolate and ice cream,high calorie,This is like pink feathers is definitely a sign of flamingo.
participant_79,T008_2,lemon,high calorie,This is similar to how one cannot find crocodile in wings.
participant_79,T009_1,carrot,high calorie,This is similar to how one cannot find eiffel tower in milan.
participant_79,T010_2,nuts,high calorie,This is like seat is definitely a sign of subway.
participant_33,T001,chocolate and cream,low calorie,This is similar to how one cannot find tsumanis in uk.
participant_33,T002,beet and apple,high calorie,This is like plants can seldom be found in desert.
participant_33,T006,chocolate and ice cream,high calorie,"This is like chickens can typically be associated with farms, but it’s also possible to associate chickens with gardens."
participant_33,T008_2,lemon,high calorie,"This is similar to how we can find flowers in both planter and vase, you can’t determine where it is if you see flowers."
participant_33,T009_1,carrot,high calorie,This is like bird can seldom be found in indoors.
participant_33,T010_2,nuts,high calorie,"This is similar to how we can find hairdryer in both hotel and hairdresser, you can’t determine where it is if you see hairdryer."
participant_46,P003_1,window and curtain,bedroom,"This is like acrylic paint can typically be associated with painting, but it’s also possible to associate acrylic paint with graffiti ."
participant_46,P004_1,toothbrush and towel,bathroom,"This is like steering wheel can typically be associated with car, but it’s also possible to associate steering wheel with truck/bus."
participant_46,P004_2,toilet,bathroom,This is like newspaper  is definitely a sign of headlines .
participant_46,P007_2,medical monitor,hospital room,This is like shoes  is definitely a sign of sole.
participant_46,P008_1,table and chair,conference room,"This is like atmosphere  can typically be associated with nitrogen , but it’s also possible to associate atmosphere  with oxygen."
participant_46,P009_1,fireplace,bedroom,This is like roller-coaster  can seldom be found in beach.
participant_10,P003_1,window and curtain,bedroom,"This is similar to how we can find privacy in both darkness or light and closure, you can’t determine where it is if you see privacy."
participant_10,P004_1,toothbrush and towel,bathroom,This is like hygiene is definitely a sign of cleaning .
participant_10,P004_2,toilet,bathroom,This is like washing  is definitely a sign of showering .
participant_10,P007_2,medical monitor,hospital room,"This is like care can typically be associated with patient, but it’s also possible to associate care with curtains for discretion."
participant_10,P008_1,table and chair,conference room,"This is similar to how we can find business in both meetings and discussion, you can’t determine where it is if you see business."
participant_10,P009_1,fireplace,bedroom,This is like heating can seldom be found in warmth.
participant_27,T001,chocolate and cream,low calorie,This is like cement can seldom be found in niagara falls.
participant_27,T002,beet and apple,high calorie,This is similar to how motorway is irrelevant is irrelevant for recognising a pot noodle cannot be associated.
participant_27,T006,chocolate and ice cream,high calorie,"This is like bees can typically be associated with a nest full of honey, but it’s also possible to associate bees with palace with crown jewels.."
participant_27,T008_2,lemon,high calorie,This is similar to how one cannot find trees in chimneys.
participant_27,T009_1,carrot,high calorie,"This is like diets can typically be associated with field of hay, but it’s also possible to associate diets with gemstones in a gold mine.."
participant_27,T010_2,nuts,high calorie,This is similar to how one cannot find fire hydrants in boats.
participant_65,P003_1,window and curtain,bedroom,"This is similar to how we can find cows in both farm and sanctuary, you can’t determine where it is if you see cows."
participant_65,P004_1,toothbrush and towel,bathroom,This is like football is definitely a sign of soccer.
participant_65,P004_2,toilet,bathroom,"This is like dogs can typically be associated with cute, but it’s also possible to associate dogs with scary."
participant_65,P007_2,medical monitor,hospital room,"This is like car can typically be associated with road, but it’s also possible to associate car with driveway."
participant_65,P008_1,table and chair,conference room,"This is similar to how we can find ice cream in both ice cream parlor and ice cream van, you can’t determine where it is if you see ice cream."
participant_65,P009_1,fireplace,bedroom,This is like bus can seldom be found in canal.
participant_20,T001,chocolate and cream,low calorie,This is like librarian is definitely a sign of in a library.
participant_20,T002,beet and apple,high calorie,This is like healthy people can seldom be found in at the doctors.
participant_20,T006,chocolate and ice cream,high calorie,This is like duvet is definitely a sign of bed.
participant_20,T008_2,lemon,high calorie,This is like ducks can seldom be found in zoo.
participant_20,T009_1,carrot,high calorie,This is like horses can seldom be found in in the city.
participant_20,T010_2,nuts,high calorie,"This is like trees can typically be associated with forest, but it’s also possible to associate trees with garden."
participant_3,T001,chocolate and cream,low calorie,This is similar to how one cannot find elderly people in kindergarten classes.
participant_3,T002,beet and apple,high calorie,"This is similar to how we can find sand in both the beach and sandpits at a playground, you can’t determine where it is if you see sand."
participant_3,T006,chocolate and ice cream,high calorie,This is like having a wifi connection is definitely a sign of a router nearby.
participant_3,T008_2,lemon,high calorie,This is similar to how hair is irrelevant for recognising a student.
participant_3,T009_1,carrot,high calorie,"This is like sunscreen can typically be associated with beach holidays, but it’s also possible to associate sunscreen with skiing holidays."
participant_3,T010_2,nuts,high calorie,"This is similar to how we can find books in both libraries and bookshops, you can’t determine where it is if you see books."
participant_96,T001,chocolate and cream,low calorie,This is like socket is definitely a sign of electrical supply.
participant_96,T002,beet and apple,high calorie,"This is like cars can typically be associated with roads, but it’s also possible to associate cars with race tracks."
participant_96,T006,chocolate and ice cream,high calorie,This is like black clouds is definitely a sign of stormy weather.
