participant_id,task_id,concept,label,analogy,Valid,Syntactic correctness,Factual Correctness,Misunderstanding,structural correspondence,Relational similarity,Familiarity,Helpfulness,Transferability,Simplicity,Domain,Relation Type
participant_33,T009_1,carrot,high calorie,This is like bird can seldom be found in indoors.,Yes,Yes,Yes without switch,No,3,3,2,1,4,5,Animals and Plants,FoundAt
participant_46,P007_2,medical monitor,hospital room,This is like shoes  is definitely a sign of sole.,Yes,Yes,Yes without switch,No,3,4,4,3,4,4,Clothing,"SignOf, PartOf"
participant_10,P004_2,toilet,bathroom,This is like washing  is definitely a sign of showering .,Yes,Yes,Yes without switch,No,4,3,5,5,4,5,Health,"UsedFor, FoundAt"
participant_10,P007_2,medical monitor,hospital room,"This is like care can typically be associated with patient, but it’s also possible to associate care with curtains for discretion.",Yes,Yes,Yes without switch,No,5,5,3,5,4,5,Health,"SignOf, PartOf"
participant_27,T006,chocolate and ice cream,high calorie,"This is like bees can typically be associated with a nest full of honey, but it’s also possible to associate bees with palace with crown jewels..",Yes,Yes,Yes with switch,No,2,3,2,3,3,3,Animals and Plants,PartOf
participant_27,T010_2,nuts,high calorie,This is similar to how one cannot find fire hydrants in boats.,Yes,Yes,Yes without switch,Yes,3,2,3,1,3,3,Transportation,FoundAt
participant_20,T006,chocolate and ice cream,high calorie,This is like duvet is definitely a sign of bed.,Yes,Yes,Yes without switch,No,3,5,5,5,5,5,Other,"SignOf, PartOf"
participant_3,T002,beet and apple,high calorie,"This is similar to how we can find sand in both the beach and sandpits at a playground, you can’t determine where it is if you see sand.",Yes,Yes,Yes without switch,No,2,2,2,1,4,5,Scene / Place,FoundAt
participant_24,P003_1,window and curtain,bedroom,"This is similar to how we can find fur in both cat and dog, you can’t determine where it is if you see fur.",Yes,Yes,Yes without switch,No,2,4,5,1,3,4,Animals and Plants,FoundAt
participant_24,P008_1,table and chair,conference room,"This is similar to how we can find water in both ocean and river, you can’t determine where it is if you see water.",Yes,Yes,Yes without switch,No,2,4,5,1,4,5,Scene / Place,FoundAt
participant_7,P003_1,window and curtain,bedroom,"This is similar to how we can find animals in both zoo and farm, you can’t determine where it is if you see animals.",Yes,Yes,Yes without switch,No,2,4,5,1,3,5,Animals and Plants,FoundAt
participant_7,P007_2,medical monitor,hospital room,"This is like motorway can typically be associated with traffic, but it’s also possible to associate motorway with congestion.",Yes,Yes,Yes without switch,Yes,3,3,3,1,3,4,Transportation,"SignOf, PartOf"
participant_25,T001,chocolate and cream,low calorie,This is like the creamy texture is definitely a sign of indulgent eating.,Yes,Yes,Yes without switch,No,2,5,5,5,2,4,Food,"SignOf, PartOf"
participant_25,T010_2,nuts,high calorie,"This is like oil rich foods can typically be associated with a healthy lifestyle, but it’s also possible to associate oil rich foods with high fat content.",Yes,Yes,Yes without switch,No,5,5,4,5,3,3,Food,"SignOf, PartOf"
participant_13,T009_1,carrot,high calorie,This is similar to how one cannot find egypt - snow in dresses worn by men.,Yes,No,No,No,3,1,3,1,1,1,Weather,FoundAt
participant_23,T002,beet and apple,high calorie,"This is similar to how we can find healthy in both garden and supermarket, you can’t determine where it is if you see healthy.",Yes,Yes,Yes without switch,No,2,4,3,3,2,4,Health,FindAt
participant_23,T009_1,carrot,high calorie,This is similar to how one cannot find feeder in cake.,Yes,Yes,No,No,4,3,3,1,1,2,Food,FoundAt
participant_23,T010_2,nuts,high calorie,"This is like dog can typically be associated with aviary, but it’s also possible to associate dog with hospital.",Yes,Yes,No,No,3,1,4,1,1,2,Animals and Plants,SignOf
participant_37,P008_1,table and chair,conference room,This is like meeting is definitely a sign of conference.,No,,,,,,,#REF!,#REF!,,,
participant_44,P007_2,medical monitor,hospital room,This is like gas to tank  is definitely a sign of green to grass .,Yes,No,No,No,1,1,4,1,1,1,Other,SignOf
participant_44,P008_1,table and chair,conference room,"This is like fruit sweet sour  can typically be associated with sky blue black , but it’s also possible to associate fruit sweet sour  with cat purring growling .",Yes,No,No,No,1,1,3,1,1,1,Food,SignOf
participant_32,P007_2,medical monitor,hospital room,"This is similar to how we can find chair in both train and helicopter, you can’t determine where it is if you see chair.",Yes,Yes,Yes without switch,No,3,2,3,3,2,3,Other,FoundAt
participant_32,P009_1,fireplace,bedroom,This is like dogs can seldom be found in fishtank.,Yes,Yes,Yes without switch,No,3,4,5,1,2,4,Animals and Plants,FoundAt
participant_47,P003_1,window and curtain,bedroom,"This is similar to how we can find book in both library and house, you can’t determine where it is if you see book.",Yes,Yes,Yes without switch,No,2,3,5,3,3,4,Scene / Place,FoundAt
participant_47,P008_1,table and chair,conference room,"This is similar to how we can find water in both swimming pool and bath, you can’t determine where it is if you see water.",Yes,Yes,Yes without switch,No,2,1,4,3,4,4,Other,FoundAt
participant_22,P007_2,medical monitor,hospital room,This is like doctor is definitely a sign of surgery.,Yes,Yes,Yes without switch,No,5,5,4,5,5,5,Health,SignOf
participant_48,T006,chocolate and ice cream,high calorie,This is like keyboard is definitely a sign of having a computer.,Yes,Yes,Yes without switch,No,2,1,5,1,5,5,Electronics,SignOf
participant_48,T008_2,lemon,high calorie,This is similar to how having hair is irrelevant for recognising a human.,Yes,Yes,Yes without switch,No,4,1,4,1,4,3,Health,"SignOf,FoundAt"
participant_38,P004_2,toilet,bathroom,This is like goal is definitely a sign of soccer pitch.,Yes,Yes,Yes without switch,No,3,1,4,1,4,4,Sports,"SignOf,FoundAt"
participant_11,P003_1,window and curtain,bedroom,"This is like water is to weather can typically be associated with health is to vegetables , but it’s also possible to associate water is to weather with vegetables are to food.",Yes,No,No,No,1,1,3,1,1,1,Health,SignOf
participant_11,P004_2,toilet,bathroom,This is like  as football is to sport  is definitely a sign of or rain is to weather .,Yes,No,No,No,1,1,3,1,1,1,Sports,SignOf
participant_11,P007_2,medical monitor,hospital room,This is like as burgers are to food is definitely a sign of as sport is to football.,Yes,No,No,No,1,1,3,1,1,1,Other,SignOf
participant_17,T006,chocolate and ice cream,high calorie,This is like snow is definitely a sign of cold weather.,Yes,Yes,Yes without switch,No,2,2,4,3,5,5,Weather,SignOf
participant_43,T002,beet and apple,high calorie,This is similar to how one cannot find toys in a clothes store.,Yes,Yes,Yes without switch,Yes,2,1,4,1,3,4,Games & Toys,FoundAt
participant_14,P003_1,window and curtain,bedroom,This is like aquatic animals is definitely a sign of oceans.,Yes,Yes,Yes without switch,No,2,1,4,1,4,4,Animals and Plants,SignOf
participant_14,P004_1,toothbrush and towel,bathroom,This is like clouds is definitely a sign of weather.,Yes,Yes,Yes without switch,No,2,1,4,1,4,5,Weather,SignOf
participant_14,P008_1,table and chair,conference room,This is like wild animals is definitely a sign of nature.,Yes,Yes,Yes without switch,No,2,4,4,1,5,5,Animals and Plants,SignOf
participant_14,P009_1,fireplace,bedroom,This is like art is definitely a sign of human expression.,Yes,Yes,Yes without switch,No,3,4,4,3,3,4,Art,SignOf
participant_41,T006,chocolate and ice cream,high calorie,"This is like sand can typically be associated with beach, but it’s also possible to associate sand with cake.",Yes,Yes,Yes with switch,No,2,4,5,3,2,4,Other,"SignOf, FoundAt"
participant_1,P004_1,toothbrush and towel,bathroom,"This is like gym bag can typically be associated with suitcase, but it’s also possible to associate gym bag with home supply store.",Yes,Yes,Yes with switch,No,2,3,3,1,2,3,Health,FoundAt
participant_1,P008_1,table and chair,conference room,"This is similar to how we can find table in both coffee machine and projection screen, you can’t determine where it is if you see table.",No,,,,,,,#REF!,#REF!,,,
participant_15,P004_1,toothbrush and towel,bathroom,"This is like to freshen ones breath can typically be associated with to do personal grooming, but it’s also possible to associate to freshen ones breath with to clean ones teeth.",No,,,,,,,#REF!,#REF!,,,
participant_15,P004_2,toilet,bathroom,"This is like  relaxing place for long soak  can typically be associated with to do personal grooming, but it’s also possible to associate  relaxing place for long soak  with clean and cool.",Yes,Yes,Yes with switch,Yes,4,4,5,3,3,4,Health,SignOf
participant_15,P009_1,fireplace,bedroom,This is like to help warm room can seldom be found in to make room cosy.,Yes,No,Yes without switch,No,1,4,4,5,3,5,Other,FoundAt
