participant_id,task_id,concept,label,analogy,Valid,Syntactic correctness,Misunderstanding,Factual Correctness,structural correspondence,Relational similarity,Familiarity,Helpfulness,Transferability,Simplicity,Domain,Relation Type
participant_33,T002,beet and apple,high calorie,This is like plants can seldom be found in desert.,Yes,Yes,No,Yes without switch,2,3,5,2,2,3,Plants,FoundAt
participant_46,P003_1,window and curtain,bedroom,"This is like acrylic paint can typically be associated with painting, but it’s also possible to associate acrylic paint with graffiti .",Yes,Yes,No,Yes without switch,3,2,5,2,2,3,Art,UsedFor
participant_46,P009_1,fireplace,bedroom,This is like roller-coaster  can seldom be found in beach.,Yes,Yes,No,Yes without switch,2,3,5,3,2,4,Other,FoundAt
participant_10,P007_2,medical monitor,hospital room,"This is like care can typically be associated with patient, but it’s also possible to associate care with curtains for discretion.",No,,,,,,,,,,,
participant_10,P009_1,fireplace,bedroom,This is like heating can seldom be found in warmth.,No,,,,,,,,,,,
participant_27,T009_1,carrot,high calorie,"This is like diets can typically be associated with field of hay, but it’s also possible to associate diets with gemstones in a gold mine..",Yes,Yes,Yes,No,1,2,5,1,1,2,Other,PartOf
participant_27,T010_2,nuts,high calorie,This is similar to how one cannot find fire hydrants in boats.,Yes,Yes,No,Yes without switch,4,4,5,3,3,3,Other,FoundAt
participant_20,T009_1,carrot,high calorie,This is like horses can seldom be found in in the city.,Yes,Yes,No,Yes without switch,1,2,5,2,2,3,Animals,FoundAt
participant_3,T008_2,lemon,high calorie,This is similar to how hair is irrelevant for recognising a student.,Yes,Yes,No,No,1,1,5,1,1,2,Other,UsedFor
participant_24,P004_2,toilet,bathroom,This is like keys is definitely a sign of keyboard.,Yes,Yes,No,No,3,5,5,1,1,3,Electronics,SignOf
participant_24,P008_1,table and chair,conference room,"This is similar to how we can find water in both ocean and river, you can’t determine where it is if you see water.",Yes,Yes,No,Yes without switch,3,4,5,3,3,3,Weather,FoundAt
participant_7,P004_2,toilet,bathroom,This is like unicorn is definitely a sign of one horn on head.,Yes,Yes,No,Yes without switch,3,3,5,3,2,4,Animals,SignOf
participant_7,P007_2,medical monitor,hospital room,"This is like motorway can typically be associated with traffic, but it’s also possible to associate motorway with congestion.",Yes,Yes,No,Yes without switch,5,4,5,4,2,4,Other,PartOf
